Fon,French
Ɖo gan tantɔn kpo cεju afɔton.,A 8 heures moins le quart
"Nu akwε enε ɔ, un nyi xixɔtɔ a.",A ce prix-là je ne suis pas acheteur
"Do hwe enε ɔ nu ɖo xwe ɔ mε ɔ, mi sɔ na ɖo hweyivɔ sin atinkεn sin hu do a.","À cette époque de l'année, vous n'aurez pas besoin de produit solaire"
"Hwe e nε ɔ nu ɔ, lεtliki ko ɖe a.","À cette époque-là, il n'y avait pas d'électricité"
"Ɖo tlolo mε ɔ, e mɔ wiimi bo zɔn jε mε.","A l'instant, elle en rencontra et s'y plongea avec délices."
"Ɖo xwegbe ɔ, e nɔ do alɔ nu mεjitɔ tɔn lε.","A la maison, il aide ses parents."
"Do xwe gbe ɔ, un nɔ wa nuti zε azɔ ce lε wu a.","À la maison, je ne fais rien à part mes devoirs."
"Zan ɖo kuku wε, Mama ɖo hɔn ɔ su wε.","A la nuit tombante, maman ferme la porte"
"Ɖo azɔmε ɔ, ye gbε ayihun gidigidi ɖo gbɔjεhwenu.","A l’école, les jeux violents sont défendus pendant la récréation"
"Ɖo gan wewe mε ɔ, azɔ nɔ nɔ te.","A midi, le travail est arrêté"
Gan tɔn mε ɖe ye wlan gbɔn ɔ.,"À minuit, comme il est écrit sur l'horaire, mon ami"
Mi mε we lε ! Un na gba nukun mε nu wε.,A nous deux ! Je vais te casser la figure
Gbε ɖagbe ni nyi mitɔn.,A nous la belle vie !
Gan nabi mε a ylɔ ?,À quelle heure as-tu appelé
Gan nabi mε wε e nɔ na nu nunu azinzɔnnɔ ɔ ?,A quelle heure donne-t-on à boire au malade ?
Gan nabi mε hun nɔ sun ?,A quelle heure le moyen de transport démarre t-il-t'il ?
Gan nabi mε wε hwezivɔ na hun ?,A quelle heure le soleil se lève-t-il ?
Gan nabi mε yi a ɖe ?,A quelle heure pars-tu ?
Mε a ɖɔ xo na ?,A qui as-tu parlé ?
Mε tɔn wε nyi gan elɔ ?,A qui est cette montre ?
Avɔ vun nyaɖe bɔ e jla ε fula.,"A un quidam aux habits déchirés, on vient proposer un chapeau"
E nu vεεn ɖee un hεn wa ɔ wε a ?,A-t-elle bu du vin que j'ai apporté?
ayijijε yetɔn sɔ ɖo linlinmε a.,Leur défaite semblait imminente.
Xɔ gbakun dokpo nu mi di enε ɔ ɖɔhun.,Achète-moi un chapeau comme celui-là.
Nu Mawu na do ace mi ji.,Afin que Dieu vous bénisse.
Hunhun go ɔ cobɔ ma ahan ɔ.,Agite la bouteille avant de servir.
A ! Un ɖo asi su kpɔ din !,Ah ! J'ai beaucoup de femmes !
εεn ?,Ah bon ?
Nungbo a ? Nu tε wutu ?,Ah oui ? Pourquoi ?
Nungbo a ? Xɔjoxɔ a ?,"Ah oui, c'est vrai ?"
"A mɔ à, yovozεn ɖagbe lε kpe hu bo blo nyanya ɔ ɖo ă.","Ah! Ah! Tu vois, toutes les bonnes oranges n'ont pas amélioré la mauvaise"
Ahwli-Kpɔnuwa sɔ gogo tlεnɔ ɖo aximε bo do ku.,Ahwli-Kponuwa en plein marché heurte de ses fesses un célibataire et lui dit merci
Go alɔ nu mi.,Aide-moi.
Mi go alɔ nu mi.,Aidez-moi.
Mi nɔ yi wan nu nɔzo mitɔn ɖesu.,Aimez aussi votre prochain.
Mi yi wan nu mεjitɔ mitɔn lε.,Aimez vos parents
Mi yi wan nu mi ɖe lε.,Aimez-vous les uns les autres
Mi ka yi wan nu mε mitɔn lε a ?,Aimez-vous vos parents ?
Mi wa mi ni nu ahan ɖo kɔfo mε.,Allons boire un verre
Mi wa mi ni ɖu nu ɖo cofu kpεvi ɖe mε egbe gbadanu.,Allons manger dans un petit restaurant à midi.
Mi ni yi ɖi sa hwemε elɔ.,Allons nous promener cet après-midi !
Un ɖo yiyi wε kpodo afɔ kpo ɖayi.,Alors j'allais à pied.
Bo un gbo do hun yi azomε.,Alors je suis allée à l'école en bus.
"Din ɔ, e ɖo xɔgbloada ɔ mε ɖo aɖisi mitɔn.","Alors, c'est dans le hall sur votre droite"
"Din ɔ, etε wutu yovo dokɔ towe lε nɔ nyɔ ?","Alors, pourquoi tes gâteaux sont-ils si bons ?"
Mi kpla wa ɖo gan tantɔn mε zanzan.,Amenez-la vers huit heures demain
Mi d'ayihun ganji.,Amusez-vous bien
Anne ɖo avi ya wε.,Anne pleure
"Anne ɖo avi ya wε, yovovi tɔn fεn.","Anne pleure, sa poupée est cassée"
Annie ɖo nu kikokplɔn wε.,Annie apprend à broder
